Competition ID,Round,Athlete Name,Athlete ID,Athlete Nation,Opponent Name,Opponent ID,Opponent Nation,Result,Hit,Counter-Hit
1391,A4,PANTANETTI Benedetta,48983,ITA,BIANCHIN Elisabetta,30818,ITA,Loss,13,15
1391,A2,KONDRICZ Kata,32912,HUN,BIANCHIN Elisabetta,30818,ITA,Won,15,12
1227,A64,PATRANOIU Petra,58439,ROU,SERBANOIU Andreea,53847,ROU,Loss,13,15
1227,A64,GUNGOR Nil,53304,TÜR,YEMIS Ayse Didem,60777,TÜR,Won,15,7
1227,A64,FUSEA Anastasia,58157,ROU,PANTIS Ilinca,43814,ROU,Loss,13,15
1227,A64,BUITENHUIS Marleen,40877,NED,MCGLINCHEY Saoirse,56477,IRL,Won,15,2
1227,A64,MITRUS Alexandra,53837,ROU,DOSPAY Karina,39246,KAZ,Loss,12,15
1227,A64,MOHAMED BELKEBIR Kaouther,42867,ALG,HENG Juliet Jie Min,51785,SGP,Loss,9,15
1227,A64,NIKOLOVA Mihaela,48283,BUL,KOMASHCHUK Alina,21499,UKR,Loss,5,15
1227,A64,ATANASOVA Kalina,51106,BUL,ALKAYA Begum,51307,TÜR,Won,15,14
1227,A64,KUVAEVA Alexandra,52593,GEO,LOO Heidi Yan Kay,46711,SGP,Won,15,10
1227,A64,KAYA Tugce Rana,49832,TÜR,NEIKOVA Emma,48279,BUL,Loss,12,15
1227,A64,KRAVATSKA Olena,19403,UKR,ALMASRI RUBA,49582,KSA,Won,15,9
1227,A64,PRIKHODKO Tatyana,26339,KAZ,GEORGIEVA Mariela,53334,BUL,Won,15,9
1227,A64,IVANOVA Beloslava,48255,BUL,BRAY Jenna,39343,GBR,Won,15,12
1227,A64,CAKIR Aylin,40992,TÜR,BOUNGAB Abik,32425,ALG,Won,15,10
1227,A64,LUTEA Tania,45329,ROU,POTTER Sophia,38211,GBR,Loss,13,15
1227,A64,MEDARSKA Sofia-Aleksandra,56961,BUL,MATEI Maria,47154,ROU,Loss,6,15
1227,A64,BASHTA Anna,31300,AZE,AHAMIAN Yeva,52719,GEO,Won,15,5
1227,A64,O'REILLY Hannah,47391,GBR,KEHLI Zohra Nora,48621,ALG,Loss,10,15
1227,A64,GOLLU Akya,57354,TÜR,SISIK Pinar Miray,53773,TÜR,Won,15,13
1227,A64,BAKASTOVA Yuliia,33006,UKR,BENADOUDA Chaima,42865,ALG,Won,15,10
1227,A64,SIVA KUMAR Thhivya Ashti,43147,SGP,ARCHVADZE Kato,51410,GEO,Loss,11,15
1227,A64,MILANOVA Kristina,48284,BUL,DUVAN Deniz,58348,TÜR,Won,15,8
